id,atencao,passeio,carinho,extrovertido,animacao,classe
1,3,3,3,2,2,Ativo
2,5,2,5,2,1,Ativo
3,3,2,3,2,4,Retraido
4,3,1,3,2,2,Ativo
5,3,3,3,1,3,Retraido
6,2,4,2,4,4,Retraido
7,2,5,2,5,5,Ativo
8,1,4,1,5,4,Ativo
9,2,4,1,4,5,Retraido
10,5,1,5,1,2,Retraido
11,1,5,2,5,5,Ativo
12,3,3,4,2,3,Ativo
13,2,3,3,3,2,Ativo
14,2,2,2,3,3,Ativo
15,3,5,1,5,3,Retraido
16,2,4,1,5,5,Ativo
17,5,2,5,1,1,Ativo
18,3,1,5,2,2,Retraido
19,1,3,2,4,4,Ativo
20,2,3,4,2,3,Retraido
21,5,3,4,1,3,Ativo
22,1,3,1,4,5,Retraido
23,2,5,2,5,5,Ativo
24,4,2,4,1,1,Ativo
25,4,3,3,2,3,Retraido
26,4,1,4,1,1,Ativo
27,5,2,3,2,1,Ativo
28,5,2,5,1,3,Ativo
29,4,2,4,4,4,Retraido
30,1,5,2,5,4,Ativo
31,4,2,4,3,3,Ativo
32,1,5,2,5,5,Ativo
33,3,3,3,4,4,Retraido
34,5,1,5,1,1,Ativo
35,4,1,4,1,1,Ativo
36,5,1,4,2,1,Retraido
37,1,4,3,4,4,Retraido
38,2,5,2,5,5,Retraido
39,5,1,4,1,1,Ativo
40,5,1,5,1,1,Ativo
41,5,1,5,1,1,Retraido
42,1,3,3,5,5,Retraido
43,1,5,1,3,5,Retraido
44,2,5,1,5,4,Ativo
45,4,3,4,3,1,Retraido
46,1,4,1,5,5,Retraido
47,4,4,2,3,3,Retraido
48,3,3,3,3,3,Retraido
49,1,5,2,5,4,Retraido
50,4,1,4,3,1,Ativo
51,5,2,5,1,1,Ativo
52,3,2,2,3,4,Retraido
53,1,4,1,5,5,Retraido
54,5,2,5,1,1,Ativo
55,1,4,1,5,4,Retraido
56,3,2,4,4,2,Ativo
57,3,2,3,4,2,Ativo
58,5,2,5,1,1,Retraido
59,1,5,1,5,5,Retraido
60,3,3,3,4,3,Retraido
61,3,4,1,4,4,Retraido
62,4,2,3,2,2,Retraido
63,4,3,4,4,3,Retraido
64,4,1,5,1,1,Ativo
65,4,2,4,1,2,Retraido
66,4,4,3,4,2,Ativo
67,3,3,2,3,4,Retraido
68,5,2,4,2,1,Retraido
69,2,3,4,3,3,Retraido
70,3,4,1,4,3,Retraido
71,2,5,1,5,5,Retraido
72,3,3,3,2,2,Retraido
73,2,3,1,3,5,Ativo
74,2,5,1,5,5,Retraido
75,3,2,4,1,2,Ativo
76,4,2,3,3,1,Retraido
77,5,1,5,1,1,Ativo
78,5,1,5,2,1,Retraido
79,3,3,2,5,3,Ativo
80,5,3,3,2,2,Retraido
81,1,4,3,4,3,Ativo
82,3,2,3,1,2,Retraido
83,2,4,1,5,5,Retraido
84,4,1,5,1,1,Ativo
85,3,3,2,3,2,Ativo
86,5,1,5,2,3,Retraido
87,2,4,1,3,5,Ativo
88,1,5,1,5,5,Ativo
89,4,1,5,1,1,Retraido
90,2,4,1,4,5,Ativo
91,3,2,3,1,3,Ativo
92,1,5,1,5,4,Ativo
93,5,2,4,2,1,Retraido
94,4,2,4,3,2,Ativo
95,4,2,3,4,2,Retraido
96,4,1,4,1,1,Ativo
97,2,5,1,4,5,Ativo
98,4,2,5,1,1,Retraido
99,4,2,5,3,2,Retraido
100,1,5,2,5,5,Retraido
